BODY_DvhArray Dose (Gy),BODY_DvhArray Value (% of 10696.900 cc),Bladder_DvhArray Dose (Gy),Bladder_DvhArray Value (% of 117.484 cc),FemoralHeadLt_DvhArray Dose (Gy),FemoralHeadLt_DvhArray Value (% of 49.422 cc),FemoralHeadRT_DvhArray Dose (Gy),FemoralHeadRT_DvhArray Value (% of 50.305 cc),PTV_DvhArray Dose (Gy),PTV_DvhArray Value (% of 49.023 cc),Rectum_DvhArray Dose (Gy),Rectum_DvhArray Value (% of 30.762 cc),
14.900000,44.878574,14.900000,100.000000,14.900000,100.000000,14.900000,100.000000,14.900000,100.000000,14.900000,99.104762,
15.100000,44.692609,15.100000,100.000000,15.100000,100.000000,15.100000,100.000000,15.100000,100.000000,15.100000,99.053968,
15.300000,44.508853,15.300000,100.000000,15.300000,100.000000,15.300000,100.000000,15.300000,100.000000,15.300000,98.882540,
15.500000,44.330064,15.500000,100.000000,15.500000,100.000000,15.500000,100.000000,15.500000,100.000000,15.500000,98.641270,
15.700000,44.150653,15.700000,100.000000,15.700000,99.992096,15.700000,100.000000,15.700000,100.000000,15.700000,98.425397,
15.900000,43.968961,15.900000,100.000000,15.900000,99.976288,15.900000,100.000000,15.900000,100.000000,15.900000,98.425397,
16.100000,43.789934,16.100000,100.000000,16.100000,99.964433,16.100000,100.000000,16.100000,100.000000,16.100000,98.425397,
16.300000,43.609209,16.300000,100.000000,16.300000,99.940721,16.300000,100.000000,16.300000,100.000000,16.300000,98.425397,
16.500000,43.429142,16.500000,100.000000,16.500000,99.920961,16.500000,100.000000,16.500000,100.000000,16.500000,98.425397,
16.700000,43.248910,16.700000,100.000000,16.700000,99.901201,16.700000,100.000000,16.700000,100.000000,16.700000,98.425397,
16.900000,43.068148,16.900000,100.000000,16.900000,99.889346,16.900000,100.000000,16.900000,100.000000,16.900000,98.393651,
17.100000,42.885178,17.100000,100.000000,17.100000,99.881442,17.100000,100.000000,17.100000,100.000000,17.100000,98.393651,
17.300000,42.699834,17.300000,100.000000,17.300000,99.845874,17.300000,100.000000,17.300000,100.000000,17.300000,98.393651,
17.500000,42.513960,17.500000,100.000000,17.500000,99.794499,17.500000,100.000000,17.500000,100.000000,17.500000,98.393651,
17.700000,42.323886,17.700000,100.000000,17.700000,99.743124,17.700000,100.000000,17.700000,100.000000,17.700000,98.393651,
17.900000,42.129814,17.900000,100.000000,17.900000,99.699652,17.900000,100.000000,17.900000,100.000000,17.900000,98.387302,
18.100000,41.938919,18.100000,100.000000,18.100000,99.648277,18.100000,100.000000,18.100000,100.000000,18.100000,98.342857,
18.300000,41.746199,18.300000,100.000000,18.300000,99.612709,18.300000,100.000000,18.300000,100.000000,18.300000,98.342857,
18.500000,41.546759,18.500000,100.000000,18.500000,99.577142,18.500000,100.000000,18.500000,100.000000,18.500000,98.342857,
18.700000,41.342863,18.700000,100.000000,18.700000,99.537623,18.700000,100.000000,18.700000,100.000000,18.700000,98.342857,
18.900000,41.137471,18.900000,100.000000,18.900000,99.506007,18.900000,100.000000,18.900000,100.000000,18.900000,98.279365,
19.100000,40.930508,19.100000,100.000000,19.100000,99.470439,19.100000,100.000000,19.100000,100.000000,19.100000,98.279365,
19.300000,40.718178,19.300000,100.000000,19.300000,99.446728,19.300000,100.000000,19.300000,100.000000,19.300000,98.279365,
19.500000,40.500022,19.500000,100.000000,19.500000,99.383497,19.500000,100.000000,19.500000,100.000000,19.500000,98.209524,
19.700000,40.275111,19.700000,100.000000,19.700000,99.253083,19.700000,100.000000,19.700000,100.000000,19.700000,98.209524,
19.900000,40.045745,19.900000,100.000000,19.900000,99.102909,19.900000,100.000000,19.900000,100.000000,19.900000,98.133333,
20.100000,39.813148,20.100000,100.000000,20.100000,99.008062,20.100000,100.000000,20.100000,100.000000,20.100000,98.063492,
20.300000,39.571037,20.300000,100.000000,20.300000,98.929023,20.300000,100.000000,20.300000,100.000000,20.300000,97.968254,
20.500000,39.324252,20.500000,100.000000,20.500000,98.846032,20.500000,100.000000,20.500000,100.000000,20.500000,97.841270,
20.700000,39.068612,20.700000,100.000000,20.700000,98.794657,20.700000,100.000000,20.700000,100.000000,20.700000,97.720635,
20.900000,38.798711,20.900000,100.000000,20.900000,98.735378,20.900000,100.000000,20.900000,100.000000,20.900000,97.625397,
21.100000,38.516997,21.100000,100.000000,21.100000,98.691906,21.100000,100.000000,21.100000,100.000000,21.100000,97.612698,
21.300000,38.230354,21.300000,100.000000,21.300000,98.518021,21.300000,100.000000,21.300000,100.000000,21.300000,97.612698,
21.500000,37.931641,21.500000,100.000000,21.500000,98.225577,21.500000,100.000000,21.500000,100.000000,21.500000,97.612698,
21.700000,37.623580,21.700000,100.000000,21.700000,98.035884,21.700000,100.000000,21.700000,100.000000,21.700000,97.580952,
21.900000,37.306206,21.900000,100.000000,21.900000,97.893614,21.900000,100.000000,21.900000,100.000000,21.900000,97.561905,
22.100000,36.968329,22.100000,100.000000,22.100000,97.771103,22.100000,100.000000,22.100000,100.000000,22.100000,97.561905,
22.300000,36.617360,22.300000,100.000000,22.300000,97.605122,22.300000,100.000000,22.300000,100.000000,22.300000,97.561905,
22.500000,36.242910,22.500000,100.000000,22.500000,97.249447,22.500000,100.000000,22.500000,100.000000,22.500000,97.561905,
22.700000,35.831449,22.700000,100.000000,22.700000,96.889820,22.700000,100.000000,22.700000,100.000000,22.700000,97.561905,
22.900000,35.399357,22.900000,100.000000,22.900000,96.403731,22.900000,100.000000,22.900000,100.000000,22.900000,97.542857,
23.100000,34.917984,23.100000,100.000000,23.100000,95.870218,23.100000,100.000000,23.100000,100.000000,23.100000,97.498413,
23.300000,34.398450,23.300000,100.000000,23.300000,95.198388,23.300000,100.000000,23.300000,100.000000,23.300000,97.498413,
23.500000,33.853117,23.500000,100.000000,23.500000,94.277585,23.500000,100.000000,23.500000,100.000000,23.500000,97.473016,
